dz_id|dz_name|dz_location|dz_ident|lat|sin_lat_rad|cos_lat_rad|lon|sin_lon_rad|cos_lon_rad|dz_address|dz_phone|dz_email|dz_url
1|Skydive Atlanta|Thomaston|OPN|38.273|0.619409145840816|0.785068347374132|-94.922|-0.996312424999708|-0.0857994859611683|Del Ray Road,  Thomaston, Georgia, United States|djracer@bellsouth.net|djracer@bellsouth.net|
2|Malone Parachute Club|Franklin County State Airport||44.94|0.70636591311755|0.70784687382626|-73.092|-0.956772985047584|0.290835787143081|629 Airport Rd.,  Swanton, VT, Vermont,  05488, United States|888-567-3037|info@maloneparachuteclub.com|http://www.maloneparachuteclub.com
3|Cross Keys & Freefall Adventures|Cross Keys Airport|17N|39.705|0.63883495786076|0.769343809109452|-75.033|-0.96607473513696|0.258262668866511|300 Dahlia Ave,  Williamstown, New Jersey,  08094, United States|856-629-7553|skydive@freefalladventures.com|http://www.skydivecrosskeys.com
4|Hinton Skydiving Centre|Hinton Airfield||52.028|0.788311528453381|0.61527630712347|-1.205|-0.0210296671271258|0.999778852097064|Hinton Airfield, Brackley,  Northants,  NN13 5NS, United Kingdom|01295 812300|info@skydive.co.uk|http://www.skydive.co.uk/
5|SkydiveCrete|Crete muncipal Airport|KCEK|40.621|0.651052461017134|0.759032735133034|-96.928|-0.992698513451665|-0.120621977229914|Crete Municipal Airport,  Crete, NE, Nebraska,  68333, United States|1-402-826-3939|info@skydivecrete.com|http://www.skydivecrete.com
6|Skydive Finland - DZ Utti|Utti Airport|EFUT|60.952|0.874213247108321|0.485542169724037|26.895|0.452356883573374|0.89183700858609|SLK ry c/o SIL ry - Helsinki-Malmi airport,  Helsinki,  00700, Finland|+358 40 506 8070|info@hyppaa.fi|http://www.hyppaa.fi
7|Aerohio||OI68|40.941|0.655281523436963|0.755384752984949|-81.798|-0.98977125161578|0.142663483326785|11746 East Easton Road,  Rittman, Ohio,  44270, United States|(330)925-3483|jumptoday@aerohio.com|http://www.jumptoday.com
8|Skydive Carolina|Chester Catawba Regional Airport|9A6|34.793|0.570613241123927|0.821218928821083|-81.187|-0.988193644624505|0.153210054251465|1903 King Air Drive,  Chester, South Carolina,  29706, United States|1-803-581-5867|info@skydivecarolina.com|http://www.skydivecarolina.com
9|Gold Coast Skydivers|I.H. Bass, Jr. Memorial Airport|4R1|31.015|0.51526246313198|0.857032434676288|-89.483|-0.999959289833464|0.00902322978508773|3865 Highway 13,  Lumberton, Mississippi,  MS, United States|800-796-7117|goldcoastskydive@aol.com|http://www.goldcoastskydivers.com
10|Bay Area Skydiving||C83|37.828|0.613293123034238|0.789855395144523|-121.626|-0.851489069195195|-0.524372353429412|3000 Armstrong Road,  Byron, California,  94514, United States|925-634-7575|skydvbyron@aol.com|http://www.bayareaskydiving.com
11|FSC-Impact Skydive in Austria|||||||||Bründlfeldweg 12/2/4,  Eisenstadt,  A-7000, Austria|00436641920790|kurt-w@bnet.at|http://www.fscimpact.at
12|Parachute Experience & Otago Skydiving Club|Mosgiel Airport||-45.861|-0.71765243862284|0.696401448403643|170.366|0.167353819145768|-0.985896900906644|P.O. Box 480,  Dunedin, New Zealand,  9001, New Zealand|Mbl: (025) 370-371; Local: 03) 489-4113|dunedinskydive@xtra.co.nz|
13|Blue Sky Ranch|Gardiner|5NY5|41.6753327328582|0.664908846588319|0.746924511398971|-74.1501188278198|-0.961980584265248|0.273117841776572|P.O. Box 121  -  45 Sand Hill Road,  Gardiner, New York,  12525, United States|(845) 255-9538|KHoiby@aol.com|http://www.theblueskyranch.com
14|Skydive Utah|Tooele Valley Airport|KTVY|40.612|0.65093322440236|0.759134992849854|-112.351|-0.924871591177106|-0.380279554845548|4645 North Airport Road,  Erda, Utah,  84074, United States|1(435 ) 833-9999 or 1-888 JUMP NOW|jump@skydiveutah.com|http://www.skydiveutah.com
15|Total Control Skydivers|||||||||Southbank,  Melbourne, Victoria., Victoria,  3250, Australia|0418-545-154|nick@totalcontrol.com.au|http://www.totalcontrol.com.au
16|SKYDIVE WITBANK|Witbank Airfield|FAWI|-25.838|-0.435828117627918|0.900029917216592|29.192|0.487737771468697|0.872990186819273|Witbank Airfield,  Witbank, South Africa|+27 820407136|skydivewitbank@ymail.com|http://www.dropzone.co.za
17|Irish Parachute Club|IPC||53.251|0.801264255303298|0.598310615962354|-7.117|-0.123895902108589|0.992295220909936|Clonbullogue,  Near Edenderry, Co. Offaly,  none, Ireland|00 353 4697 30103|info@skydive.ie|http://www.skydive.ie
18|Paraclub Hoevenen|||||||||Buynderdijck,  Hoevenen,  2940, Belgium|0477.32.09.76|info@paraclubhoevenen.net|http://www.paraclubhoevenen.net
19|Parachute Club of Utti - DZ Utti|Utti|EFUT|60.898|0.873755246195822|0.486365880531601|26.919|0.452730415689847|0.891647447542636|PL 44,  Kouvola,  45101, Finland|+358 5 3684539|DZ@utti.org|http://www.utti.org/index.php?area=english
20|Green Bay Skydivers||92C|44.641|0.702662388332142|0.711523413545451|-88.215|-0.999514749430585|0.0311490877990826|PO Box 137,  Pulaski, Wisconsin,  54162, United States|920 822 5010|GreenBaySkydivers@hotmail.com|http://www.greenbayskydivers.com
21|Parachute School of Toronto Limited|Baldwin|CPB9|44.27|0.698040453871801|0.716058324969726|-79.34|-0.982742176826297|0.184980577052598|5714 Smith Blvd., PO Box 73,  Baldwin, Ontario,  L0E 1A0, Canada|1-800-DO-1-JUMP (1-800-361-5867)|info@parachuteschool.com|http://www.parachuteschool.com
22|Skydive Lobos - Club Escuela de Paracaidistas Argentinos|||||||||Aeroclub Fortín Lobos, Ruta 205, km 105.5,  Lobos, provincia de Buenos Aires,  B7240XAA, Argentina|54 (2227) 421-700|cepa@sinectis.com.ar|http://www.paracaidismolobos.com.ar
